iter	Passed	Remaining
476	636	697
477	637	696
478	638	694
479	639	692
480	639	690
481	640	688
482	640	685
483	641	683
484	642	681
485	642	679
486	643	677
487	643	675
488	644	673
489	645	671
490	645	669
491	646	667
492	652	671
493	653	669
494	654	667
495	655	665
496	655	663
497	656	661
498	657	659
499	657	657
500	658	656
501	659	654
502	659	652
503	660	650
504	661	648
505	661	646
506	662	644
507	663	643
508	664	641
509	666	639
510	667	638
511	667	636
512	668	634
513	669	632
514	669	630
515	670	628
516	671	626
517	671	624
518	672	622
519	672	621
520	673	619
521	674	617
522	675	615
523	675	613
524	676	611
525	676	609
526	677	608
527	678	606
528	681	606
529	681	604
530	682	602
531	683	601
532	683	599
533	684	597
534	685	595
535	685	593
536	686	591
537	687	590
538	687	588
539	688	586
540	689	584
541	689	582
542	690	581
543	691	579
544	692	578
545	693	576
546	694	575
547	696	574
548	697	573
549	698	571
550	698	569
551	699	567
552	700	565
553	700	564
554	701	562
555	702	560
556	702	558
557	703	557
558	704	555
559	704	553
560	705	551
561	705	550
562	706	548
563	707	546
564	708	545
565	708	543
566	709	541
567	710	540
568	711	538
569	712	537
570	713	535
571	714	534
572	714	532
573	715	530
574	716	529
575	716	527
576	717	525
577	717	524
578	718	522
579	719	520
580	719	519
581	720	517
582	721	516
583	722	514
584	723	513
585	724	511
586	726	510
587	727	509
588	727	507
589	728	506
590	729	504
591	729	503
592	730	501
593	731	499
594	731	498
595	732	496
596	733	495
597	734	493
598	734	491
599	735	490
600	736	488
601	736	487
602	738	486
603	738	484
604	739	483
605	740	481
606	741	480
607	742	478
608	743	477
609	743	475
610	744	474
611	745	472
612	745	470
613	746	469
614	747	467
615	747	466
616	748	464
617	749	463
618	749	461
619	750	459
620	751	458
621	751	456
622	752	455
623	753	453
624	754	452
625	757	452
626	758	451
627	759	450
628	760	448
629	761	446
630	761	445
631	762	443
632	762	442
633	763	440
634	764	439
635	764	437
636	765	436
637	765	434
638	766	433
639	767	431
640	768	430
641	768	428
642	769	427
643	770	426
644	771	424
645	772	423
646	773	422
647	774	420
648	774	419
649	775	417
650	776	416
651	776	414
652	777	413
653	777	411
654	778	410
655	779	408
656	779	407
657	780	405
658	781	404
659	781	402
660	782	401
661	783	399
662	784	398
663	785	397
664	787	396
665	787	395
666	788	393
667	789	392
668	790	391
669	791	389
670	791	388
671	792	386
672	792	385
673	793	383
674	794	382
675	794	380
676	795	379
677	796	378
678	796	376
679	797	375
680	798	374
681	799	372
682	800	371
683	803	370
684	804	370
685	806	369
686	809	368
687	818	371
688	820	370
689	821	369
690	822	367
691	823	366
692	824	365
693	825	364
694	826	362
695	827	361
696	828	359
697	829	358
698	830	357
699	834	357
700	835	356
701	836	355
702	837	353
703	838	352
704	838	350
705	839	349
706	840	348
707	840	346
708	841	345
709	842	344
710	842	342
711	843	341
712	844	339
713	845	338
714	846	337
715	847	336
716	848	335
717	849	333
718	850	332
719	851	331
720	851	329
721	852	328
722	853	326
723	853	325
724	854	324
725	855	322
726	855	321
727	856	319
728	856	318
729	857	317
730	858	315
731	858	314
732	859	313
733	862	312
734	863	311
735	864	309
736	864	308
737	865	307
738	866	305
739	866	304
740	867	303
741	868	301
742	868	300
743	869	299
744	869	297
745	870	296
746	871	295
747	871	293
748	872	292
749	873	291
750	873	289
751	874	288
752	875	287
753	875	285
754	876	284
755	877	283
756	878	282
757	879	280
758	879	279
759	881	278
760	881	276
761	882	275
762	883	274
763	883	272
764	884	271
765	884	270
766	885	269
767	886	267
768	886	266
769	887	265
770	888	263
771	888	262
772	889	261
773	890	259
774	891	258
775	892	257
776	892	256
777	894	255
778	894	253
779	895	252
780	896	251
781	896	250
782	897	248
783	898	247
784	898	246
785	899	244
786	900	243
787	900	242
788	901	241
789	901	239
790	902	238
791	903	237
792	903	235
793	904	234
794	907	233
795	909	233
796	910	232
797	911	230
798	912	229
799	912	228
800	913	226
801	914	225
802	914	224
803	915	223
804	916	221
805	916	220
806	917	219
807	918	218
808	918	216
809	919	215
810	920	214
811	921	213
812	922	212
813	923	211
814	924	209
815	925	208
816	926	207
817	926	206
818	928	205
819	932	204
820	935	204
821	937	202
822	938	201
823	939	200
824	940	199
825	941	198
826	941	197
827	943	195
828	944	194
829	945	193
830	946	192
831	948	191
832	950	190
833	951	189
834	952	188
835	953	187
836	954	185
837	955	184
838	955	183
839	956	182
840	957	180
841	957	179
842	958	178
843	959	177
844	960	176
845	961	174
846	962	173
847	964	172
848	966	171
849	967	170
850	968	169
851	969	168
852	970	167
853	971	166
854	972	164
855	975	164
856	980	163
857	983	162
858	984	161
859	985	160
860	986	159
861	987	158
862	988	156
863	989	155
864	990	154
865	991	153
866	992	152
867	994	151
868	995	150
869	997	149
870	998	147
871	999	146
872	1000	145
873	1001	144
874	1002	143
875	1003	142
876	1004	140
877	1005	139
878	1006	138
879	1007	137
880	1011	136
881	1012	135
882	1013	134
883	1014	133
884	1015	131
885	1016	130
886	1017	129
887	1017	128
888	1018	127
889	1019	126
890	1020	124
891	1021	123
892	1023	122
893	1024	121
894	1025	120
895	1027	119
896	1028	118
897	1029	116
898	1030	115
899	1031	114
900	1031	113
901	1032	112
902	1033	111
903	1034	109
904	1035	108
905	1036	107
906	1037	106
907	1041	105
908	1042	104
909	1043	103
910	1044	102
911	1045	100
912	1046	99
913	1047	98
914	1048	97
915	1049	96
916	1050	95
917	1051	93
918	1052	92
919	1059	92
920	1060	90
921	1061	89
922	1062	88
923	1063	87
924	1064	86
925	1065	85
926	1065	83
927	1067	82
928	1068	81
929	1069	80
930	1070	79
931	1073	78
932	1076	77
933	1076	76
934	1077	74
935	1078	73
936	1078	72
937	1079	71
938	1080	70
939	1081	69
940	1081	67
941	1082	66
942	1086	65
943	1087	64
944	1088	63
945	1089	62
946	1089	60
947	1090	59
948	1091	58
949	1092	57
950	1092	56
951	1093	55
952	1094	53
953	1094	52
954	1095	51
955	1096	50
956	1096	49
957	1097	48
958	1098	46
959	1099	45
960	1101	44
961	1102	43
962	1103	42
963	1104	41
964	1105	40
965	1105	38
966	1106	37
967	1107	36
968	1108	35
969	1108	34
970	1109	33
971	1109	31
972	1110	30
973	1111	29
974	1112	28
975	1114	27
976	1117	26
977	1118	25
978	1119	24
979	1120	22
980	1120	21
981	1121	20
982	1122	19
983	1122	18
984	1123	17
985	1124	15
986	1124	14
987	1125	13
988	1126	12
989	1126	11
990	1127	10
991	1128	9
992	1129	7
993	1130	6
994	1131	5
995	1132	4
996	1133	3
997	1134	2
998	1134	1
999	1135	0
