iter	MultiClass
0	1.018973511
1	0.9497557525
2	0.8917110885
3	0.8360905838
4	0.7768347356
5	0.7312039153
6	0.6932963187
7	0.6722204488
8	0.634296506
9	0.6034773228
10	0.5667238017
11	0.5365697302
12	0.5094438359
13	0.4842909644
14	0.4627064035
15	0.4418236067
16	0.4217046709
17	0.4055256949
18	0.3858713507
19	0.3709734505
20	0.355249937
21	0.3406775559
22	0.3257942274
23	0.3143304482
24	0.3042211077
25	0.2943209129
26	0.2852269498
27	0.2756677291
28	0.2664775563
29	0.258060147
30	0.2509840205
31	0.2458231533
32	0.2364434028
33	0.2298116992
34	0.2215335668
35	0.2144373881
36	0.2069102204
37	0.2014720683
38	0.1964598099
39	0.1916310841
40	0.1869348633
41	0.1818049425
42	0.1776718578
43	0.1730881128
44	0.1687251638
45	0.1654116716
46	0.1607838122
47	0.1560396308
48	0.1528112593
49	0.1491947207
50	0.1462272333
51	0.1425517238
52	0.1402376712
53	0.1367377228
54	0.1338430203
55	0.1313034587
56	0.1286140546
57	0.1256510108
58	0.1236037457
59	0.1207898582
60	0.1193918011
61	0.1170919446
62	0.1145425907
63	0.1121522123
64	0.1100296224
65	0.1082861679
66	0.1063802741
67	0.1047273261
68	0.1029137214
69	0.1016239156
70	0.09968312907
71	0.09769217416
72	0.09618721165
73	0.09450750199
74	0.09305126003
75	0.09171530091
76	0.09018197531
77	0.08886499175
78	0.0876413814
79	0.08631938928
80	0.08506403851
81	0.08349224989
82	0.08243696095
83	0.08097236528
84	0.07982420693
85	0.07867405142
86	0.07705560884
87	0.07583523565
88	0.07483096402
89	0.07388114201
90	0.07297796594
91	0.0721228017
92	0.07136847812
93	0.07041411155
94	0.06963124385
95	0.06871867809
96	0.06764059576
97	0.06665247226
98	0.06546408436
99	0.06468377853
100	0.06367430919
101	0.0628538593
102	0.06217406467
103	0.06131294018
104	0.06051455415
105	0.05971062104
106	0.05892803526
107	0.05815679363
108	0.05754550458
109	0.05683609388
110	0.05615977245
111	0.0555448925
112	0.05493533614
113	0.05438833079
114	0.05378752175
115	0.05318093807
116	0.05270408216
117	0.05196286512
118	0.05141899568
119	0.0508766065
120	0.05032814619
121	0.04970778764
122	0.04922975984
123	0.04857254181
124	0.04804111697
125	0.04747405347
126	0.04698673553
127	0.04656440135
128	0.04617286724
129	0.04571232889
130	0.04517701378
131	0.04468294063
132	0.04426191091
133	0.04376542442
134	0.04339379452
135	0.04294759746
136	0.04254146362
137	0.04220479578
138	0.04174554067
139	0.0413654078
140	0.0409828496
141	0.0406626095
142	0.04025749469
143	0.03982100429
144	0.03937733025
145	0.03907488648
146	0.03877937277
147	0.03845277119
148	0.03814915865
149	0.03783021276
150	0.03747312588
151	0.03710336294
152	0.03681978212
153	0.03643653723
154	0.03614614299
155	0.03588662995
156	0.03559405938
157	0.03532429903
158	0.03507875036
159	0.03473774567
160	0.0344938273
161	0.03418467587
162	0.03382003528
163	0.03361985063
164	0.03337553886
165	0.03315132029
166	0.03292174509
167	0.03269099531
168	0.03242316113
169	0.03213348468
170	0.0319510841
171	0.0317566864
172	0.03148237158
173	0.03128153877
174	0.031077225
175	0.03081031564
176	0.03061512775
177	0.03039662317
178	0.03016549697
179	0.02995666259
180	0.02978842593
181	0.02955096047
182	0.02937691804
183	0.02921979532
184	0.02902958586
185	0.0289030893
186	0.02874079323
187	0.02854776942
188	0.02836393589
189	0.0280923292
190	0.02792799422
191	0.0277933569
192	0.02760044708
193	0.02737238371
194	0.02722251812
195	0.02703248108
196	0.02687637949
197	0.02674027062
198	0.02663447825
199	0.02643251697
200	0.02630061499
201	0.02614434641
202	0.02600057334
203	0.02581477186
204	0.02565440524
205	0.02552425803
206	0.0253848927
207	0.02526113044
208	0.02511861486
209	0.02500681631
210	0.02487397896
211	0.0247069521
212	0.02457684523
213	0.0243906975
214	0.02426574501
215	0.02411493043
216	0.02400861457
217	0.02392072736
218	0.02378810882
219	0.0236996399
220	0.02356179999
221	0.02345403789
222	0.02330196105
223	0.02318216612
224	0.02308085505
225	0.02294124327
226	0.02283912702
227	0.02268934952
228	0.02257067866
229	0.02248418678
230	0.02237292512
231	0.02227570716
232	0.02216582355
233	0.02203947461
234	0.02192015989
235	0.02177038703
236	0.02168268461
237	0.02157575293
238	0.0214768428
239	0.02137972911
240	0.02124987697
241	0.02113754285
242	0.02103377463
243	0.02094089784
244	0.02085367202
245	0.02072312174
246	0.02061707832
247	0.02053213901
248	0.02040756499
249	0.02032946784
250	0.02023230018
251	0.0201606963
252	0.02004042149
253	0.01993200479
254	0.01985952445
255	0.01977195023
256	0.01969042024
257	0.01957888533
258	0.01950455584
259	0.01938904022
260	0.01930532415
261	0.01919564473
262	0.01911309591
263	0.01904021572
264	0.01893029107
265	0.01886434424
266	0.01876787205
267	0.01868918584
268	0.01860576654
269	0.01851559068
270	0.01844057815
271	0.01834306219
272	0.01826201251
273	0.01818906573
274	0.01812341042
275	0.01805730427
276	0.01796325587
277	0.01788241775
278	0.01780863198
279	0.01769997766
280	0.01763212497
281	0.01754111693
282	0.01749255638
283	0.01741897524
284	0.01733474496
285	0.01726665924
286	0.01720902407
287	0.01712338174
288	0.01706033421
289	0.0170050819
290	0.01692139953
291	0.01686709866
292	0.0167874214
293	0.01672228652
294	0.01666111885
295	0.0166038184
296	0.01654101605
297	0.01646173721
298	0.01639912591
299	0.01632623361
300	0.01626534081
301	0.01620903175
302	0.01613790859
303	0.01608540506
304	0.0160241693
305	0.01596278868
306	0.01588646959
307	0.01582293696
308	0.01574685372
309	0.01569731496
310	0.01563338466
311	0.01556669508
312	0.01552085698
313	0.01546208643
314	0.01542692343
315	0.01535437812
316	0.01528951357
317	0.01523444624
318	0.01517091813
319	0.015120365
320	0.01506053781
321	0.01500113349
